problema_id,titulo,nivel,modelo,estrategia,testes_aprovados,total_testes,correcao_funcional,erro,categoria_erro,excecao_principal,detalhe_erro
P01,Calcular intervalo entre notas,basico,qwen3.6,zero-shot,8,8,100.0,False,sucesso,,
P02,Validar escala maior,basico,qwen3.6,zero-shot,7,7,100.0,False,sucesso,,
P03,Converter cifra para semitom,basico,qwen3.6,zero-shot,6,6,100.0,False,sucesso,,
P04,Classificar tríade,intermediario,qwen3.6,zero-shot,0,0,0,True,lexico_semantico,ImportError,Erro de coleta (módulo não importável)
P05,Gerar campo harmônico maior,intermediario,qwen3.6,zero-shot,0,0,0,True,sintatico,IndentationError,Erro de coleta (módulo não importável)
P06,Detectar inversão de acorde,intermediario,qwen3.6,zero-shot,0,0,0,True,sintatico,IndentationError,Erro de coleta (módulo não importável)
P07,Validar progressão harmônica,intermediario,qwen3.6,zero-shot,7,7,100.0,False,sucesso,,
P08,Classificar tétrade,avancado,qwen3.6,zero-shot,6,7,85.71,True,logico,AssertionError,Distribuição de exceções entre testes: {'AssertionError': 1}
P09,Verificar condução de vozes,avancado,qwen3.6,zero-shot,6,6,100.0,False,sucesso,,
P10,Detectar modulação tonal,avancado,qwen3.6,zero-shot,6,6,100.0,False,sucesso,,
P01,Calcular intervalo entre notas,basico,qwen3.6,few-shot,8,8,100.0,False,sucesso,,
P02,Validar escala maior,basico,qwen3.6,few-shot,7,7,100.0,False,sucesso,,
P03,Converter cifra para semitom,basico,qwen3.6,few-shot,6,6,100.0,False,sucesso,,
P04,Classificar tríade,intermediario,qwen3.6,few-shot,0,0,0,True,sintatico,IndentationError,Erro de coleta (módulo não importável)
P05,Gerar campo harmônico maior,intermediario,qwen3.6,few-shot,0,0,0,True,sintatico,IndentationError,Erro de coleta (módulo não importável)
P06,Detectar inversão de acorde,intermediario,qwen3.6,few-shot,0,0,0,True,sintatico,IndentationError,Erro de coleta (módulo não importável)
P07,Validar progressão harmônica,intermediario,qwen3.6,few-shot,7,7,100.0,False,sucesso,,
P08,Classificar tétrade,avancado,qwen3.6,few-shot,0,0,0,True,sintatico,SyntaxError,Erro de coleta (módulo não importável)
P09,Verificar condução de vozes,avancado,qwen3.6,few-shot,6,6,100.0,False,sucesso,,
P10,Detectar modulação tonal,avancado,qwen3.6,few-shot,6,6,100.0,False,sucesso,,
P01,Calcular intervalo entre notas,basico,gemma4,zero-shot,8,8,100.0,False,sucesso,,
P02,Validar escala maior,basico,gemma4,zero-shot,7,7,100.0,False,sucesso,,
P03,Converter cifra para semitom,basico,gemma4,zero-shot,6,6,100.0,False,sucesso,,
P04,Classificar tríade,intermediario,gemma4,zero-shot,0,7,0.0,True,logico,AssertionError,Distribuição de exceções entre testes: {'AssertionError': 7}
P05,Gerar campo harmônico maior,intermediario,gemma4,zero-shot,1,5,20.0,True,logico,AssertionError,Distribuição de exceções entre testes: {'AssertionError': 4}
P06,Detectar inversão de acorde,intermediario,gemma4,zero-shot,0,0,0,True,sintatico,SyntaxError,Erro de coleta (módulo não importável)
P07,Validar progressão harmônica,intermediario,gemma4,zero-shot,7,7,100.0,False,sucesso,,
P08,Classificar tétrade,avancado,gemma4,zero-shot,0,0,0,True,sintatico,SyntaxError,Erro de coleta (módulo não importável)
P09,Verificar condução de vozes,avancado,gemma4,zero-shot,6,6,100.0,False,sucesso,,
P10,Detectar modulação tonal,avancado,gemma4,zero-shot,6,6,100.0,False,sucesso,,
P01,Calcular intervalo entre notas,basico,gemma4,few-shot,8,8,100.0,False,sucesso,,
P02,Validar escala maior,basico,gemma4,few-shot,7,7,100.0,False,sucesso,,
P03,Converter cifra para semitom,basico,gemma4,few-shot,6,6,100.0,False,sucesso,,
P04,Classificar tríade,intermediario,gemma4,few-shot,3,7,42.86,True,logico,AssertionError,Distribuição de exceções entre testes: {'AssertionError': 4}
P05,Gerar campo harmônico maior,intermediario,gemma4,few-shot,1,5,20.0,True,logico,AssertionError,Distribuição de exceções entre testes: {'AssertionError': 4}
P06,Detectar inversão de acorde,intermediario,gemma4,few-shot,1,6,16.67,True,logico,AssertionError,Distribuição de exceções entre testes: {'AssertionError': 5}
P07,Validar progressão harmônica,intermediario,gemma4,few-shot,7,7,100.0,False,sucesso,,
P08,Classificar tétrade,avancado,gemma4,few-shot,0,0,0,True,sintatico,SyntaxError,Erro de coleta (módulo não importável)
P09,Verificar condução de vozes,avancado,gemma4,few-shot,6,6,100.0,False,sucesso,,
P10,Detectar modulação tonal,avancado,gemma4,few-shot,6,6,100.0,False,sucesso,,
